Model, Sentiment, Precision, Recall, F1-Score
Logistic Regression, Negative, 0.6805, 0.1909, 0.2982
Logistic Regression, Neutral, 0.5354, 0.8521, 0.6576
Logistic Regression, Positive, 0.6895, 0.4473, 0.5426
Logistic Regression, Macro Average, 0.6351, 0.4968, 0.4995
Naive Bayes, Negative, 0.9062, 0.0338, 0.0651
Naive Bayes, Neutral, 0.5021, 0.9087, 0.6468
Naive Bayes, Positive, 0.6922, 0.3498, 0.4648
Naive Bayes, Macro Average, 0.7002, 0.4308, 0.3922
K-Nearest Neighbors, Negative, 0.4487, 0.2852, 0.3488
K-Nearest Neighbors, Neutral, 0.5155, 0.6658, 0.5811
K-Nearest Neighbors, Positive, 0.5404, 0.4502, 0.4912
K-Nearest Neighbors, Macro Average, 0.5016, 0.4671, 0.4737
XGBoost, Negative, 0.6118, 0.1816, 0.2801
XGBoost, Neutral, 0.5216, 0.8692, 0.6520
XGBoost, Positive, 0.7150, 0.3849, 0.5005
XGBoost, Macro Average, 0.6161, 0.4786, 0.4775
